Sr No.,Spectrum,ComponentName,C,O,Al,Si,P,S,Cr,Mn,Ni,Pb,Fe,Mo,Cu,Sn,Zn,Au,K,N,Ca,V,W,Cl
15,15,Armature Bolt,2.66,0.46,0.0,0.23,0.0,0.0,1.62,0.25,0.0,0.0,94.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,Armature Bolt,3.02,0.57,0.0,0.23,0.0,0.0,1.8,0.28,0.0,0.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,Armature Bolt,2.03,0.61,0.0,0.2,0.0,0.0,1.55,0.25,0.0,0.0,95.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,Armature Bolt,2.58,0.59,0.0,0.28,0.0,0.0,1.75,0.3,0.0,0.0,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,Armature Bolt,2.55,0.6,0.0,0.28,0.0,0.0,1.5,0.31,0.0,0.0,94.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,Armature Bolt,2.22,0.43,0.0,0.23,0.0,0.0,1.63,0.24,0.0,0.0,95.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,Armature Bolt,2.24,0.55,0.0,0.23,0.0,0.0,1.46,0.29,0.0,0.0,95.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,Armature Bolt,2.54,0.5,0.0,0.25,0.0,0.0,1.84,0.21,0.0,0.0,94.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,Armature Bolt,2.4,0.53,0.0,0.26,0.0,0.0,1.64,0.26,0.0,0.0,94.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,Armature Bolt,2.6,0.47,0.0,0.26,0.0,0.0,1.45,0.27,0.0,0.0,94.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,Armature Bolt,2.85,0.46,0.0,0.27,0.0,0.0,1.76,0.29,0.0,0.0,94.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,Armature Bolt,2.34,0.48,0.0,0.26,0.0,0.0,1.85,0.25,0.0,0.0,94.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,Armature Bolt,2.18,0.5,0.0,0.23,0.0,0.0,1.72,0.3,0.0,0.0,95.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,Armature Bolt,2.2,0.53,0.0,0.27,0.0,0.0,1.67,0.27,0.0,0.0,95.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,Armature Bolt,2.57,0.48,0.0,0.25,0.0,0.0,1.5,0.25,0.0,0.0,94.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,Armature Bolt,2.76,0.56,0.0,0.26,0.0,0.0,1.78,0.24,0.0,0.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,Armature Bolt,2.14,0.51,0.0,0.28,0.0,0.0,1.81,0.29,0.0,0.0,94.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,Armature Bolt,3.01,0.43,0.0,0.25,0.0,0.0,1.54,0.28,0.0,0.0,94.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,Armature Bolt,2.17,0.62,0.0,0.21,0.0,0.0,1.66,0.26,0.0,0.0,95.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,Armature Bolt,3.04,0.52,0.0,0.24,0.0,0.0,1.51,0.21,0.0,0.0,94.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,Armature Bolt,2.76,0.59,0.0,0.28,0.0,0.0,1.52,0.26,0.0,0.0,94.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,Armature Bolt,2.62,0.61,0.0,0.28,0.0,0.0,1.89,0.31,0.0,0.0,94.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,Armature Bolt,2.8,0.47,0.0,0.25,0.0,0.0,1.82,0.22,0.0,0.0,94.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,Armature Bolt,2.38,0.46,0.0,0.18,0.0,0.0,1.87,0.26,0.0,0.0,94.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,Armature Bolt,2.57,0.51,0.0,0.26,0.0,0.0,1.91,0.28,0.0,0.0,94.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,Armature Bolt,2.64,0.51,0.0,0.31,0.0,0.0,1.51,0.26,0.0,0.0,94.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,Armature Bolt,2.66,0.4,0.0,0.26,0.0,0.0,1.48,0.21,0.0,0.0,94.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,Armature Bolt,2.24,0.54,0.0,0.28,0.0,0.0,1.6,0.25,0.0,0.0,95.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,Armature Bolt,2.13,0.45,0.0,0.27,0.0,0.0,1.51,0.32,0.0,0.0,95.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,Armature Bolt,2.74,0.49,0.0,0.19,0.0,0.0,1.41,0.24,0.0,0.0,94.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,Armature Bolt,2.42,0.53,0.0,0.25,0.0,0.0,1.49,0.27,0.0,0.0,95.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,Armature Bolt,2.52,0.45,0.0,0.19,0.0,0.0,1.57,0.23,0.0,0.0,95.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,Armature Bolt,2.25,0.46,0.0,0.22,0.0,0.0,1.64,0.23,0.0,0.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,Armature Bolt,2.49,0.61,0.0,0.25,0.0,0.0,1.71,0.25,0.0,0.0,94.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,Armature Bolt,3.09,0.4,0.0,0.31,0.0,0.0,2.0,0.26,0.0,0.0,93.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,Armature Bolt,2.36,0.56,0.0,0.28,0.0,0.0,1.55,0.25,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,Armature Bolt,2.27,0.44,0.0,0.27,0.0,0.0,1.44,0.3,0.0,0.0,95.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,Armature Bolt,2.23,0.49,0.0,0.27,0.0,0.0,1.8,0.21,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,Armature Bolt,2.48,0.5,0.0,0.28,0.0,0.0,1.72,0.31,0.0,0.0,94.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,Armature Bolt,2.94,0.52,0.0,0.24,0.0,0.0,1.87,0.25,0.0,0.0,94.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,Armature Bolt,2.52,0.61,0.0,0.3,0.0,0.0,1.72,0.26,0.0,0.0,94.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,Armature Bolt,2.31,0.47,0.0,0.24,0.0,0.0,1.82,0.24,0.0,0.0,94.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,Armature Bolt,2.73,0.45,0.0,0.27,0.0,0.0,1.63,0.33,0.0,0.0,94.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,Armature Bolt,2.94,0.53,0.0,0.2,0.0,0.0,1.6,0.27,0.0,0.0,94.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,Armature Bolt,2.17,0.47,0.0,0.24,0.0,0.0,1.69,0.29,0.0,0.0,95.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,Armature Bolt,3.06,0.42,0.0,0.24,0.0,0.0,1.81,0.25,0.0,0.0,94.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,Armature Bolt,2.06,0.45,0.0,0.23,0.0,0.0,1.52,0.22,0.0,0.0,95.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,Armature Bolt,2.42,0.43,0.0,0.26,0.0,0.0,1.62,0.26,0.0,0.0,95.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,Armature Bolt,2.85,0.49,0.0,0.28,0.0,0.0,1.72,0.32,0.0,0.0,94.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,Armature Bolt,2.52,0.62,0.0,0.29,0.0,0.0,1.71,0.29,0.0,0.0,94.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,Armature Bolt,2.81,0.55,0.0,0.22,0.0,0.0,1.61,0.22,0.0,0.0,94.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,Armature Bolt,2.75,0.46,0.0,0.26,0.0,0.0,1.75,0.34,0.0,0.0,94.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,Armature Bolt,2.51,0.43,0.0,0.27,0.0,0.0,1.31,0.25,0.0,0.0,95.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,Armature Bolt,2.68,0.55,0.0,0.25,0.0,0.0,1.67,0.25,0.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,Armature Bolt,2.42,0.5,0.0,0.25,0.0,0.0,1.54,0.25,0.0,0.0,95.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,Armature Bolt,2.94,0.5,0.0,0.23,0.0,0.0,1.65,0.22,0.0,0.0,94.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,Armature Bolt,2.42,0.55,0.0,0.24,0.0,0.0,1.77,0.26,0.0,0.0,94.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,Armature Bolt,2.83,0.52,0.0,0.24,0.0,0.0,1.5,0.33,0.0,0.0,94.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,Armature Bolt,2.84,0.54,0.0,0.2,0.0,0.0,1.74,0.24,0.0,0.0,94.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,Armature Bolt,2.67,0.55,0.0,0.27,0.0,0.0,1.76,0.31,0.0,0.0,94.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75,Armature Bolt,2.87,0.57,0.0,0.3,0.0,0.0,1.85,0.33,0.0,0.0,94.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,Armature Bolt,2.95,0.46,0.0,0.31,0.0,0.0,1.5,0.26,0.0,0.0,94.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,Armature Bolt,2.56,0.55,0.0,0.25,0.0,0.0,1.67,0.22,0.0,0.0,94.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,Armature Bolt,2.5,0.39,0.0,0.27,0.0,0.0,1.52,0.27,0.0,0.0,95.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,Armature Bolt,3.27,0.47,0.0,0.31,0.0,0.0,1.45,0.26,0.0,0.0,94.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,Armature Bolt,2.67,0.46,0.0,0.21,0.0,0.0,1.58,0.25,0.0,0.0,94.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,Armature Bolt,2.57,0.46,0.0,0.24,0.0,0.0,1.4,0.25,0.0,0.0,95.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,Armature Bolt,2.92,0.51,0.0,0.26,0.0,0.0,1.69,0.3,0.0,0.0,94.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83,Armature Bolt,2.41,0.43,0.0,0.29,0.0,0.0,1.56,0.24,0.0,0.0,95.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84,Armature Bolt,2.59,0.52,0.0,0.26,0.0,0.0,1.62,0.24,0.0,0.0,94.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,Armature Bolt,2.65,0.53,0.0,0.26,0.0,0.0,1.66,0.32,0.0,0.0,94.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,Armature Bolt,3.05,0.53,0.0,0.22,0.0,0.0,1.71,0.28,0.0,0.0,94.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87,Armature Bolt,2.39,0.45,0.0,0.26,0.0,0.0,1.86,0.27,0.0,0.0,94.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88,Armature Bolt,2.5,0.41,0.0,0.32,0.0,0.0,1.79,0.25,0.0,0.0,94.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,89,Armature Bolt,2.91,0.47,0.0,0.27,0.0,0.0,1.82,0.26,0.0,0.0,94.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,90,Armature Bolt,2.6,0.64,0.0,0.23,0.0,0.0,1.63,0.26,0.0,0.0,94.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,Armature Bolt,2.79,0.62,0.0,0.22,0.0,0.0,1.96,0.39,0.0,0.0,94.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,Armature Bolt,2.79,0.49,0.0,0.27,0.0,0.0,1.7,0.29,0.0,0.0,94.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,93,Armature Bolt,2.37,0.5,0.0,0.29,0.0,0.0,1.7,0.29,0.0,0.0,94.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,94,Armature Bolt,2.74,0.54,0.0,0.25,0.0,0.0,1.41,0.23,0.0,0.0,94.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,95,Armature Bolt,2.47,0.49,0.0,0.28,0.0,0.0,1.78,0.26,0.0,0.0,94.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,96,Armature Bolt,2.39,0.42,0.0,0.36,0.0,0.0,1.78,0.31,0.0,0.0,94.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97,Armature Bolt,3.11,0.6,0.0,0.28,0.0,0.0,1.86,0.3,0.0,0.0,93.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,98,Armature Bolt,2.63,0.52,0.0,0.22,0.0,0.0,1.57,0.21,0.0,0.0,94.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,Armature Bolt,2.45,0.53,0.0,0.23,0.0,0.0,1.8,0.33,0.0,0.0,94.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,Armature Bolt,3.22,0.55,0.0,0.23,0.0,0.0,1.84,0.3,0.0,0.0,93.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1,Armature Guide,2.12,0.61,0.07,0.38,0.01,0.02,1.54,0.25,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2,Armature Guide,2.27,0.48,0.09,0.36,0.01,0.02,1.62,0.21,0.0,0.0,94.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,3,Armature Guide,1.62,0.57,0.06,0.32,0.01,0.02,1.66,0.26,0.0,0.0,95.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,4,Armature Guide,2.08,0.46,0.08,0.35,0.01,0.02,1.69,0.23,0.0,0.0,95.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,5,Armature Guide,2.1,0.55,0.07,0.42,0.01,0.01,1.64,0.21,0.0,0.0,94.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,6,Armature Guide,2.04,0.5,0.08,0.35,0.01,0.02,1.46,0.28,0.0,0.0,95.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,7,Armature Guide,1.93,0.59,0.08,0.3,0.01,0.02,1.51,0.23,0.0,0.0,95.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,8,Armature Guide,1.91,0.5,0.09,0.37,0.01,0.02,1.7,0.26,0.0,0.0,95.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,9,Armature Guide,1.77,0.62,0.09,0.41,0.01,0.02,1.75,0.24,0.0,0.0,95.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,10,Armature Guide,2.06,0.64,0.09,0.36,0.01,0.02,1.64,0.25,0.0,0.0,94.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,11,Armature Guide,1.87,0.55,0.06,0.39,0.01,0.02,1.68,0.27,0.0,0.0,95.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,12,Armature Guide,1.83,0.48,0.09,0.35,0.01,0.02,1.71,0.22,0.0,0.0,95.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,13,Armature Guide,2.12,0.6,0.08,0.33,0.01,0.02,1.64,0.25,0.0,0.0,94.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,14,Armature Guide,2.0,0.48,0.08,0.36,0.01,0.02,1.66,0.28,0.0,0.0,95.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,15,Armature Guide,2.08,0.62,0.09,0.36,0.01,0.02,1.86,0.26,0.0,0.0,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,16,Armature Guide,2.53,0.53,0.08,0.37,0.01,0.02,1.8,0.23,0.0,0.0,94.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,17,Armature Guide,2.02,0.44,0.07,0.31,0.01,0.02,1.54,0.24,0.0,0.0,95.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,18,Armature Guide,2.36,0.56,0.09,0.35,0.01,0.02,1.6,0.2,0.0,0.0,94.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,19,Armature Guide,1.82,0.6,0.08,0.36,0.01,0.02,1.75,0.27,0.0,0.0,95.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,20,Armature Guide,1.85,0.62,0.07,0.35,0.01,0.02,1.52,0.25,0.0,0.0,95.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,21,Armature Guide,2.03,0.59,0.07,0.41,0.01,0.02,1.67,0.25,0.0,0.0,94.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,22,Armature Guide,2.12,0.61,0.08,0.34,0.01,0.02,1.77,0.27,0.0,0.0,94.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,23,Armature Guide,2.48,0.4,0.08,0.39,0.01,0.02,1.64,0.27,0.0,0.0,94.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,24,Armature Guide,2.04,0.51,0.08,0.34,0.01,0.01,1.43,0.22,0.0,0.0,95.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,25,Armature Guide,2.37,0.61,0.07,0.32,0.01,0.02,1.6,0.22,0.0,0.0,94.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,26,Armature Guide,1.98,0.52,0.07,0.32,0.01,0.02,1.59,0.29,0.0,0.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,27,Armature Guide,1.78,0.51,0.07,0.37,0.01,0.02,1.49,0.22,0.0,0.0,95.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,28,Armature Guide,2.46,0.68,0.09,0.34,0.01,0.02,1.75,0.31,0.0,0.0,94.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,29,Armature Guide,2.25,0.54,0.07,0.36,0.01,0.02,1.79,0.26,0.0,0.0,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,30,Armature Guide,2.18,0.47,0.08,0.37,0.01,0.02,1.6,0.26,0.0,0.0,95.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,31,Armature Guide,2.41,0.5,0.07,0.41,0.01,0.02,1.95,0.26,0.0,0.0,94.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,32,Armature Guide,1.61,0.45,0.1,0.31,0.01,0.02,1.68,0.23,0.0,0.0,95.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,33,Armature Guide,1.69,0.49,0.07,0.39,0.01,0.02,1.65,0.26,0.0,0.0,95.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,34,Armature Guide,2.22,0.5,0.08,0.37,0.01,0.01,1.54,0.22,0.0,0.0,95.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,35,Armature Guide,1.87,0.55,0.08,0.38,0.01,0.02,1.38,0.28,0.0,0.0,95.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,36,Armature Guide,2.04,0.54,0.08,0.43,0.01,0.02,1.71,0.27,0.0,0.0,94.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,37,Armature Guide,1.59,0.55,0.07,0.36,0.01,0.01,1.65,0.2,0.0,0.0,95.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,38,Armature Guide,2.15,0.59,0.1,0.39,0.01,0.02,1.69,0.21,0.0,0.0,94.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
